countrycode,date,confirmed,deceased,recovered
GH,2020-03-18,7,0,0
CO,2020-03-18,93,0,1
CN,2020-03-18,81102,4491,69755
CM,2020-03-18,10,0,0
DJ,2020-03-18,1,0,0
CL,2020-03-18,238,0,0
CI,2020-03-18,6,0,1
CR,2020-03-18,50,0,0
DK,2020-03-18,1116,4,1
ET,2020-03-18,6,0,0
DP,2020-03-18,712,7,325
DZ,2020-03-18,74,7,12
EC,2020-03-18,111,2,0
EE,2020-03-18,258,0,1
EG,2020-03-18,196,6,32
ES,2020-03-18,13910,581,1081
FI,2020-03-18,336,0,10
FR,2020-03-18,9124,148,12
GA,2020-03-18,1,0,0
GE,2020-03-18,38,0,1
CH,2020-03-18,3028,28,15
GM,2020-03-18,1,0,0
DO,2020-03-18,21,1,0
CG,2020-03-18,1,0,0
AU,2020-03-18,568,6,23
CD,2020-03-18,4,0,0
GB,2020-03-18,2626,115,65
GN,2020-03-18,1,0,0
AD,2020-03-18,39,0,1
AE,2020-03-18,113,0,26
AF,2020-03-18,22,0,1
AG,2020-03-18,1,0,0
AL,2020-03-18,59,2,0
AM,2020-03-18,84,0,1
AR,2020-03-18,79,2,3
AT,2020-03-18,1646,4,9
AZ,2020-03-18,28,1,6
BA,2020-03-18,38,0,2
CF,2020-03-18,1,0,0
BB,2020-03-18,2,0,0
BE,2020-03-18,1486,14,31
BF,2020-03-18,20,1,0
BG,2020-03-18,92,2,0
BH,2020-03-18,256,1,88
BJ,2020-03-18,2,0,0
BN,2020-03-18,68,0,0
BO,2020-03-18,12,0,0
BR,2020-03-18,372,3,2
BS,2020-03-18,1,0,0
BT,2020-03-18,1,0,0
BY,2020-03-18,51,0,5
CA,2020-03-18,657,8,9
BD,2020-03-18,14,1,3
GQ,2020-03-18,4,0,0
NP,2020-03-18,1,0,1
GT,2020-03-18,6,1,0
SG,2020-03-18,313,0,114
SE,2020-03-18,1279,10,1
SD,2020-03-18,2,1,0
SC,2020-03-18,4,0,0
SA,2020-03-18,171,0,6
RW,2020-03-18,8,0,0
RU,2020-03-18,147,0,8
RS,2020-03-18,83,0,1
RO,2020-03-18,260,0,19
QA,2020-03-18,452,0,4
PY,2020-03-18,11,0,0
PT,2020-03-18,448,2,3
PS,2020-03-18,41,0,0
PL,2020-03-18,251,5,13
PK,2020-03-18,299,0,2
PH,2020-03-18,202,19,5
PE,2020-03-18,145,0,1
PA,2020-03-18,86,1,0
OM,2020-03-18,39,0,12
SI,2020-03-18,275,1,0
NZ,2020-03-18,20,0,0
SK,2020-03-18,105,1,0
SO,2020-03-18,1,0,0
ZM,2020-03-18,2,0,0
ZA,2020-03-18,116,0,0
VN,2020-03-18,75,0,16
VE,2020-03-18,36,0,0
VC,2020-03-18,1,0,0
VA,2020-03-18,1,0,0
UZ,2020-03-18,15,0,0
UY,2020-03-18,50,0,0
US,2020-03-18,7783,118,105
UA,2020-03-18,14,2,0
TZ,2020-03-18,3,0,0
TW,2020-03-18,100,1,22
TT,2020-03-18,7,0,0
TR,2020-03-18,98,1,0
GR,2020-03-18,418,5,8
TH,2020-03-18,212,1,42
TG,2020-03-18,1,0,0
SZ,2020-03-18,1,0,0
SR,2020-03-18,1,0,0
SN,2020-03-18,31,0,2
NO,2020-03-18,1550,6,1
TN,2020-03-18,29,0,0
NG,2020-03-18,8,0,1
KR,2020-03-18,8413,84,1540
KH,2020-03-18,35,0,1
KG,2020-03-18,3,0,0
KE,2020-03-18,3,0,0
JP,2020-03-18,889,29,144
JO,2020-03-18,52,0,1
JM,2020-03-18,13,0,2
IT,2020-03-18,35713,2978,4025
IS,2020-03-18,250,1,5
KW,2020-03-18,142,0,15
IR,2020-03-18,17361,1135,5389
IN,2020-03-18,156,3,14
IL,2020-03-18,304,0,11
IE,2020-03-18,292,2,5
ID,2020-03-18,227,19,11
HU,2020-03-18,58,1,2
HR,2020-03-18,81,0,4
HN,2020-03-18,9,0,0
GY,2020-03-18,7,1,0
NL,2020-03-18,2058,58,2
IQ,2020-03-18,164,12,43
KZ,2020-03-18,35,0,0
SM,2020-03-18,119,11,4
LB,2020-03-18,133,3,3
NA,2020-03-18,2,0,0
MY,2020-03-18,790,2,60
MX,2020-03-18,93,0,4
MV,2020-03-18,13,0,0
MU,2020-03-18,3,0,0
MR,2020-03-18,1,0,0
MN,2020-03-18,6,0,0
MK,2020-03-18,35,0,1
ME,2020-03-18,2,0,0
MT,2020-03-18,38,0,2
MC,2020-03-18,7,0,0
MA,2020-03-18,49,2,1
LV,2020-03-18,71,0,1
LU,2020-03-18,203,2,0
LT,2020-03-18,27,0,1
LR,2020-03-18,2,0,0
LK,2020-03-18,51,0,1
LI,2020-03-18,28,0,0
MD,2020-03-18,30,1,1
LC,2020-03-18,2,0,0
DO,2020-03-19,34,2,0
DK,2020-03-19,1225,6,1
DJ,2020-03-19,1,0,0
DE,2020-03-19,15320,44,113
CZ,2020-03-19,694,0,3
CO,2020-03-19,102,0,1
CU,2020-03-19,11,1,0
CR,2020-03-19,69,1,0
CN,2020-03-19,81156,4502,70535
DP,2020-03-19,712,7,325
CM,2020-03-19,13,0,0
CY,2020-03-19,67,0,0
DZ,2020-03-19,87,9,32
GE,2020-03-19,40,0,1
EE,2020-03-19,267,0,1
EG,2020-03-19,256,6,32
ES,2020-03-19,17963,775,1107
ET,2020-03-19,6,0,0
FI,2020-03-19,400,0,10
FJ,2020-03-19,1,0,0
FR,2020-03-19,10970,242,12
GA,2020-03-19,1,0,0
CL,2020-03-19,238,0,0
GH,2020-03-19,11,0,0
GM,2020-03-19,1,0,0
GN,2020-03-19,1,0,0
GQ,2020-03-19,6,0,0
EC,2020-03-19,199,3,0
CI,2020-03-19,9,0,1
BO,2020-03-19,12,0,0
CG,2020-03-19,3,0,0
GB,2020-03-19,2689,158,65
AD,2020-03-19,53,0,1
AE,2020-03-19,140,0,31
AF,2020-03-19,22,0,1
AG,2020-03-19,1,0,0
AL,2020-03-19,64,2,0
AM,2020-03-19,115,0,1
AR,2020-03-19,97,3,3
AU,2020-03-19,681,6,26
AZ,2020-03-19,44,1,6
BA,2020-03-19,63,0,2
BB,2020-03-19,5,0,0
BD,2020-03-19,17,1,3
BE,2020-03-19,1795,21,31
BF,2020-03-19,33,1,0
BG,2020-03-19,94,3,0
BH,2020-03-19,278,1,100
BJ,2020-03-19,2,0,0
BN,2020-03-19,75,0,0
GR,2020-03-19,418,6,8
BR,2020-03-19,621,6,2
BS,2020-03-19,3,0,0
BT,2020-03-19,1,0,0
BY,2020-03-19,51,0,5
CA,2020-03-19,800,9,9
CD,2020-03-19,14,0,0
CF,2020-03-19,1,0,0
CH,2020-03-19,4075,41,15
AT,2020-03-19,2013,6,9
IT,2020-03-19,41035,3405,4440
GY,2020-03-19,7,1,0
US,2020-03-19,13677,200,121
UY,2020-03-19,79,0,0
UZ,2020-03-19,23,0,0
VA,2020-03-19,1,0,0
VC,2020-03-19,1,0,0
VE,2020-03-19,42,0,0
VN,2020-03-19,85,0,16
ZA,2020-03-19,150,0,0
RU,2020-03-19,199,1,9
RO,2020-03-19,277,0,25
QA,2020-03-19,460,0,4
PY,2020-03-19,11,0,0
PT,2020-03-19,785,3,3
PS,2020-03-19,44,0,0
PL,2020-03-19,355,5,1
PK,2020-03-19,454,2,13
PH,2020-03-19,217,17,8
PE,2020-03-19,234,0,1
PA,2020-03-19,109,1,0
UA,2020-03-19,16,2,0
TZ,2020-03-19,6,0,0
TW,2020-03-19,108,1,26
TT,2020-03-19,9,0,0
RS,2020-03-19,103,0,1
RW,2020-03-19,8,0,0
SA,2020-03-19,274,0,6
SC,2020-03-19,6,0,0
SD,2020-03-19,2,1,0
SE,2020-03-19,1439,11,16
SG,2020-03-19,345,0,114
SI,2020-03-19,286,1,0
GT,2020-03-19,9,1,0
OM,2020-03-19,48,0,12
SK,2020-03-19,123,1,0
SN,2020-03-19,31,0,2
SO,2020-03-19,1,0,0
SR,2020-03-19,1,0,0
SV,2020-03-19,1,0,0
TD,2020-03-19,1,0,0
TG,2020-03-19,1,0,0
TH,2020-03-19,272,1,42
TN,2020-03-19,39,1,0
TR,2020-03-19,192,3,0
SM,2020-03-19,119,11,4
NZ,2020-03-19,28,0,0
SZ,2020-03-19,1,0,0
NO,2020-03-19,1746,7,1
KZ,2020-03-19,44,0,0
KW,2020-03-19,148,0,18
KR,2020-03-19,8565,91,1540
KH,2020-03-19,37,0,1
HN,2020-03-19,12,0,0
KE,2020-03-19,7,0,0
JP,2020-03-19,924,29,150
JO,2020-03-19,69,0,1
JM,2020-03-19,15,1,2
LB,2020-03-19,157,4,4
ZM,2020-03-19,2,0,0
IR,2020-03-19,18407,1284,5710
IQ,2020-03-19,192,13,43
IN,2020-03-19,194,4,15
IL,2020-03-19,427,0,11
IE,2020-03-19,557,3,5
ID,2020-03-19,311,25,11
HU,2020-03-19,73,1,2
HR,2020-03-19,105,1,5
NP,2020-03-19,1,0,1
IS,2020-03-19,330,1,5
LC,2020-03-19,2,0,0
KG,2020-03-19,3,0,0
LK,2020-03-19,60,0,3
NL,2020-03-19,2467,77,2
NI,2020-03-19,1,0,0
NG,2020-03-19,8,0,1
NA,2020-03-19,3,0,0
MY,2020-03-19,900,2,75
LI,2020-03-19,28,0,0
MV,2020-03-19,13,0,0
MU,2020-03-19,3,0,0
MT,2020-03-19,53,0,2
MR,2020-03-19,2,0,0
MX,2020-03-19,118,1,4
MK,2020-03-19,48,0,1
ME,2020-03-19,3,0,0
MD,2020-03-19,49,1,1
MC,2020-03-19,7,0,0
MA,2020-03-19,63,2,1
LV,2020-03-19,86,0,1
LU,2020-03-19,335,4,0
LT,2020-03-19,36,0,1
LR,2020-03-19,2,0,0
MN,2020-03-19,6,0,0
DK,2020-03-20,1337,9,1
DJ,2020-03-20,1,0,0
DE,2020-03-20,19848,67,180
CZ,2020-03-20,833,0,4
CY,2020-03-20,67,0,0
CO,2020-03-20,128,0,1
CU,2020-03-20,16,1,0
CR,2020-03-20,89,1,0
CN,2020-03-20,81250,4507,71266
DO,2020-03-20,72,2,0
CM,2020-03-20,20,0,0
CV,2020-03-20,1,0,0
DP,2020-03-20,712,7,325
GN,2020-03-20,1,0,0
EC,2020-03-20,367,5,0
EE,2020-03-20,283,0,1
EG,2020-03-20,285,8,39
ES,2020-03-20,20410,973,1588
ET,2020-03-20,9,0,0
FI,2020-03-20,450,0,10
FJ,2020-03-20,1,0,0
FR,2020-03-20,12758,448,12
GA,2020-03-20,3,1,0
GE,2020-03-20,43,0,1
GH,2020-03-20,16,0,0
GM,2020-03-20,1,0,0
CL,2020-03-20,434,0,6
GQ,2020-03-20,6,0,0
DZ,2020-03-20,90,11,32
CI,2020-03-20,9,0,1
AT,2020-03-20,2388,6,9
CG,2020-03-20,3,0,0
GT,2020-03-20,12,1,0
GB,2020-03-20,3983,194,65
AD,2020-03-20,75,0,1
AE,2020-03-20,140,2,31
AF,2020-03-20,24,0,1
AG,2020-03-20,1,0,0
AL,2020-03-20,70,2,0
AM,2020-03-20,136,0,1
AO,2020-03-20,1,0,0
AR,2020-03-20,128,3,3
AU,2020-03-20,791,7,26
AZ,2020-03-20,44,1,6
BA,2020-03-20,89,0,2
BB,2020-03-20,5,0,0
BD,2020-03-20,20,1,3
BE,2020-03-20,2257,37,1
BF,2020-03-20,40,1,0
BG,2020-03-20,127,3,0
BH,2020-03-20,285,1,100
BJ,2020-03-20,2,0,0
BN,2020-03-20,78,0,1
BO,2020-03-20,15,0,0
BR,2020-03-20,793,11,2
BS,2020-03-20,3,0,0
BT,2020-03-20,2,0,0
BY,2020-03-20,69,0,5
CA,2020-03-20,943,12,9
CD,2020-03-20,18,0,0
CF,2020-03-20,3,0,0
CH,2020-03-20,5294,54,15
GY,2020-03-20,7,1,0
GR,2020-03-20,495,6,19
HR,2020-03-20,128,1,5
SK,2020-03-20,137,1,0
SI,2020-03-20,341,1,0
SG,2020-03-20,385,0,124
SE,2020-03-20,1639,16,16
SD,2020-03-20,2,1,0
SC,2020-03-20,7,0,0
SA,2020-03-20,344,0,8
RW,2020-03-20,17,0,0
RU,2020-03-20,253,1,9
RS,2020-03-20,135,1,1
RO,2020-03-20,308,0,25
QA,2020-03-20,470,0,10
PY,2020-03-20,13,0,0
PT,2020-03-20,1020,6,5
PS,2020-03-20,47,0,17
PL,2020-03-20,425,5,1
PK,2020-03-20,501,3,13
PH,2020-03-20,230,18,8
PG,2020-03-20,1,0,0
PE,2020-03-20,234,3,1
PA,2020-03-20,137,1,0
SM,2020-03-20,144,14,4
OM,2020-03-20,48,0,12
SN,2020-03-20,38,0,2
SR,2020-03-20,4,0,0
ZW,2020-03-20,1,0,0
ZM,2020-03-20,2,0,0
ZA,2020-03-20,202,0,0
VN,2020-03-20,91,0,16
VE,2020-03-20,42,0,0
VC,2020-03-20,1,0,0
VA,2020-03-20,1,0,0
UZ,2020-03-20,33,0,0
UY,2020-03-20,94,0,0
US,2020-03-20,19100,244,147
UA,2020-03-20,29,3,0
TZ,2020-03-20,6,0,0
TW,2020-03-20,135,2,26
TT,2020-03-20,9,0,0
TR,2020-03-20,359,4,0
TN,2020-03-20,54,1,0
TH,2020-03-20,322,1,42
HN,2020-03-20,24,0,0
TD,2020-03-20,1,0,0
SZ,2020-03-20,1,0,0
SV,2020-03-20,1,0,0
SO,2020-03-20,1,0,0
NZ,2020-03-20,39,0,0
TG,2020-03-20,9,0,1
NO,2020-03-20,1914,7,1
LC,2020-03-20,2,0,0
LB,2020-03-20,163,4,4
KZ,2020-03-20,49,3,0
KW,2020-03-20,159,0,18
KR,2020-03-20,8652,94,1540
KH,2020-03-20,51,0,1
KG,2020-03-20,6,0,0
KE,2020-03-20,7,0,0
JP,2020-03-20,963,33,191
JO,2020-03-20,85,0,1
JM,2020-03-20,16,1,2
IT,2020-03-20,47021,4032,4440
IR,2020-03-20,19644,1433,6745
IQ,2020-03-20,208,17,49
IN,2020-03-20,244,5,20
IL,2020-03-20,529,0,14
IE,2020-03-20,683,3,5
ID,2020-03-20,369,32,15
HU,2020-03-20,85,3,2
HT,2020-03-20,2,0,0
NP,2020-03-20,1,0,1
LI,2020-03-20,28,0,0
LK,2020-03-20,73,0,3
IS,2020-03-20,409,0,5
NA,2020-03-20,3,0,0
NG,2020-03-20,12,0,1
NE,2020-03-20,1,0,0
MY,2020-03-20,1030,3,87
MX,2020-03-20,164,1,4
MV,2020-03-20,13,0,0
MU,2020-03-20,12,0,0
LR,2020-03-20,2,0,0
MT,2020-03-20,64,0,2
NI,2020-03-20,1,0,0
MR,2020-03-20,2,0,0
MK,2020-03-20,67,0,1
MG,2020-03-20,3,0,0
ME,2020-03-20,14,0,0
MD,2020-03-20,66,1,1
MC,2020-03-20,11,0,0
MA,2020-03-20,77,3,1
LV,2020-03-20,111,0,1
LU,2020-03-20,484,4,0
LT,2020-03-20,49,0,1
MN,2020-03-20,6,0,0
NL,2020-03-20,3003,107,2
CZ,2020-03-21,995,0,6
DO,2020-03-21,112,2,0
DJ,2020-03-21,1,0,0
DK,2020-03-21,1420,13,1
DE,2020-03-21,22213,84,233
CY,2020-03-21,84,0,0
GQ,2020-03-21,6,0,0
CU,2020-03-21,21,1,0
CR,2020-03-21,117,2,2
CO,2020-03-21,196,0,1
CN,2020-03-21,81305,4515,71857
DP,2020-03-21,712,8,325
CM,2020-03-21,27,0,0
CV,2020-03-21,3,0,0
DZ,2020-03-21,139,15,32
GA,2020-03-21,4,1,0
EE,2020-03-21,306,0,1
EG,2020-03-21,294,10,41
ER,2020-03-21,1,0,0
ES,2020-03-21,25374,1283,2125
ET,2020-03-21,9,0,0
FI,2020-03-21,523,1,10
FJ,2020-03-21,1,0,0
FR,2020-03-21,14463,559,12
GE,2020-03-21,49,0,1
GH,2020-03-21,19,1,0
GM,2020-03-21,1,0,0
GN,2020-03-21,2,0,0
CL,2020-03-21,537,0,6
EC,2020-03-21,506,7,3
CI,2020-03-21,14,0,1
AR,2020-03-21,158,4,3
CG,2020-03-21,3,0,0
GB,2020-03-21,5018,250,65
AD,2020-03-21,88,0,1
AE,2020-03-21,153,2,38
AF,2020-03-21,24,0,1
AG,2020-03-21,1,0,0
AL,2020-03-21,76,2,2
AM,2020-03-21,160,0,1
AO,2020-03-21,2,0,0
GR,2020-03-21,530,13,19
AT,2020-03-21,2814,8,9
AU,2020-03-21,1071,7,26
AZ,2020-03-21,53,1,11
BA,2020-03-21,93,1,2
BB,2020-03-21,6,0,0
BD,2020-03-21,25,2,3
BE,2020-03-21,2815,67,263
BF,2020-03-21,64,2,5
BG,2020-03-21,163,3,3
BH,2020-03-21,305,1,125
BJ,2020-03-21,2,0,0
BN,2020-03-21,83,0,2
BO,2020-03-21,19,0,0
BR,2020-03-21,1021,15,2
BS,2020-03-21,4,0,0
BT,2020-03-21,2,0,0
BY,2020-03-21,76,0,15
CA,2020-03-21,1277,19,10
CD,2020-03-21,23,1,0
CF,2020-03-21,3,0,0
CH,2020-03-21,6575,75,15
GT,2020-03-21,17,1,0
SV,2020-03-21,3,0,0
HN,2020-03-21,24,0,0
SK,2020-03-21,178,1,0
SI,2020-03-21,383,1,0
SG,2020-03-21,432,2,140
SE,2020-03-21,1763,20,16
SD,2020-03-21,2,1,0
SC,2020-03-21,7,0,0
SA,2020-03-21,392,0,16
RW,2020-03-21,17,0,0
RU,2020-03-21,306,1,12
RS,2020-03-21,171,1,1
RO,2020-03-21,367,0,52
QA,2020-03-21,481,0,27
PY,2020-03-21,18,1,0
PT,2020-03-21,1280,12,5
PS,2020-03-21,48,0,17
PL,2020-03-21,536,5,1
PK,2020-03-21,730,3,13
PH,2020-03-21,307,19,13
PG,2020-03-21,1,0,0
PE,2020-03-21,318,5,1
PA,2020-03-21,200,1,0
SM,2020-03-21,144,20,4
OM,2020-03-21,52,0,12
SN,2020-03-21,47,0,5
SR,2020-03-21,4,0,0
ZW,2020-03-21,3,0,0
ZM,2020-03-21,2,0,0
ZA,2020-03-21,240,0,0
VN,2020-03-21,94,0,17
VE,2020-03-21,70,0,0
VC,2020-03-21,1,0,0
VA,2020-03-21,1,0,0
UZ,2020-03-21,43,0,0
UY,2020-03-21,110,0,0
US,2020-03-21,25489,307,176
UG,2020-03-21,1,0,0
UA,2020-03-21,47,3,1
TZ,2020-03-21,6,0,0
TW,2020-03-21,153,2,28
TT,2020-03-21,49,0,1
GY,2020-03-21,7,1,0
TN,2020-03-21,60,1,0
TH,2020-03-21,411,1,42
TG,2020-03-21,16,0,1
TD,2020-03-21,1,0,0
SZ,2020-03-21,1,0,0
SO,2020-03-21,1,0,0
NZ,2020-03-21,52,0,0
TR,2020-03-21,670,9,0
NO,2020-03-21,2118,7,1
LB,2020-03-21,187,4,4
KZ,2020-03-21,53,0,0
KW,2020-03-21,176,0,27
KR,2020-03-21,8799,102,1540
KH,2020-03-21,53,0,1
KG,2020-03-21,14,0,0
KE,2020-03-21,7,0,0
JP,2020-03-21,1007,35,232
JO,2020-03-21,85,0,1
JM,2020-03-21,16,1,2
IT,2020-03-21,53578,4825,6072
IR,2020-03-21,20610,1556,7635
IQ,2020-03-21,214,17,51
IN,2020-03-21,330,4,23
IL,2020-03-21,712,1,36
IE,2020-03-21,785,3,5
ID,2020-03-21,450,38,15
HU,2020-03-21,103,4,7
HT,2020-03-21,2,0,0
HR,2020-03-21,206,1,5
NP,2020-03-21,1,0,1
LC,2020-03-21,2,0,0
LI,2020-03-21,37,0,0
IS,2020-03-21,473,1,22
LR,2020-03-21,3,0,0
NL,2020-03-21,3640,137,2
LK,2020-03-21,77,0,1
NI,2020-03-21,2,0,0
NG,2020-03-21,22,0,1
NE,2020-03-21,1,0,0
NA,2020-03-21,3,0,0
MY,2020-03-21,1183,4,114
MV,2020-03-21,13,0,0
MU,2020-03-21,14,1,0
MT,2020-03-21,73,0,2
MR,2020-03-21,2,0,0
MX,2020-03-21,203,2,4
MA,2020-03-21,96,3,3
LT,2020-03-21,83,1,1
MK,2020-03-21,85,0,1
MG,2020-03-21,3,0,0
ME,2020-03-21,14,0,0
MD,2020-03-21,80,1,1
MC,2020-03-21,11,0,0
MN,2020-03-21,10,0,0
LV,2020-03-21,124,0,1
LU,2020-03-21,670,8,0
CO,2020-03-22,231,2,3
CR,2020-03-22,134,2,2
DM,2020-03-22,1,0,0
DP,2020-03-22,712,8,325
DZ,2020-03-22,201,17,65
DO,2020-03-22,202,3,0
DK,2020-03-22,1514,13,1
CY,2020-03-22,95,1,3
DE,2020-03-22,24873,94,266
CZ,2020-03-22,1120,1,6
CV,2020-03-22,3,0,0
EC,2020-03-22,789,14,3
CU,2020-03-22,35,1,0
DJ,2020-03-22,1,0,0
EE,2020-03-22,326,0,2
GE,2020-03-22,54,0,3
ER,2020-03-22,1,0,0
ES,2020-03-22,28768,1654,2575
ET,2020-03-22,11,0,4
FI,2020-03-22,626,1,10
FJ,2020-03-22,2,0,0
FR,2020-03-22,16243,671,2206
GA,2020-03-22,5,1,0
GD,2020-03-22,1,0,0
GH,2020-03-22,23,1,0
GM,2020-03-22,1,0,0
GN,2020-03-22,2,0,0
CN,2020-03-22,81435,4536,72362
GQ,2020-03-22,6,0,0
GR,2020-03-22,624,15,19
EG,2020-03-22,327,14,56
CM,2020-03-22,40,0,0
AT,2020-03-22,3582,16,9
CI,2020-03-22,14,0,1
GT,2020-03-22,19,1,0
GB,2020-03-22,5683,285,65
AD,2020-03-22,113,1,1
AE,2020-03-22,153,2,38
AF,2020-03-22,40,1,1
AG,2020-03-22,1,0,0
AL,2020-03-22,89,2,2
AM,2020-03-22,194,0,2
AO,2020-03-22,2,0,0
AR,2020-03-22,266,4,3
AU,2020-03-22,1549,7,88
AZ,2020-03-22,65,1,10
BA,2020-03-22,126,1,2
BB,2020-03-22,14,0,0
BD,2020-03-22,27,2,3
BE,2020-03-22,3401,75,263
BF,2020-03-22,75,4,5
CH,2020-03-22,7474,98,131
CG,2020-03-22,3,0,0
CF,2020-03-22,3,0,0
CD,2020-03-22,30,1,0
CA,2020-03-22,1469,20,10
BY,2020-03-22,76,0,15
CL,2020-03-22,632,1,8
BT,2020-03-22,2,0,0
BR,2020-03-22,1546,25,2
BO,2020-03-22,24,0,0
BN,2020-03-22,88,0,2
BJ,2020-03-22,2,0,0
BH,2020-03-22,334,2,149
BG,2020-03-22,187,3,3
BS,2020-03-22,4,0,0
GY,2020-03-22,19,1,0
SM,2020-03-22,175,20,4
HR,2020-03-22,254,1,5
UZ,2020-03-22,43,0,0
VA,2020-03-22,1,0,0
VC,2020-03-22,1,0,0
VE,2020-03-22,70,0,15
VN,2020-03-22,113,0,17
ZA,2020-03-22,274,0,0
ZM,2020-03-22,3,0,0
ZW,2020-03-22,3,0,0
RW,2020-03-22,19,0,0
RU,2020-03-22,367,1,16
RS,2020-03-22,222,2,1
RO,2020-03-22,433,3,64
QA,2020-03-22,494,0,33
PY,2020-03-22,22,1,0
PT,2020-03-22,1600,14,5
PS,2020-03-22,52,0,17
PL,2020-03-22,634,7,1
PK,2020-03-22,776,5,5
PH,2020-03-22,380,25,17
PG,2020-03-22,1,0,0
PE,2020-03-22,363,5,1
UY,2020-03-22,158,0,0
US,2020-03-22,33276,417,178
UG,2020-03-22,1,0,0
UA,2020-03-22,73,3,1
SC,2020-03-22,7,0,0
SD,2020-03-22,2,1,0
SE,2020-03-22,1934,21,16
SG,2020-03-22,455,2,144
SI,2020-03-22,414,2,0
SK,2020-03-22,185,0,7
SN,2020-03-22,67,0,5
SO,2020-03-22,1,0,0
SR,2020-03-22,5,0,0
SV,2020-03-22,3,0,0
PA,2020-03-22,313,3,0
SY,2020-03-22,1,0,0
TD,2020-03-22,1,0,0
TG,2020-03-22,16,0,1
TH,2020-03-22,599,1,44
HN,2020-03-22,26,0,0
TN,2020-03-22,75,3,1
TR,2020-03-22,1236,30,0
TT,2020-03-22,50,0,1
TW,2020-03-22,169,2,28
SA,2020-03-22,511,0,16
TZ,2020-03-22,12,0,0
SZ,2020-03-22,4,0,0
OM,2020-03-22,55,0,17
TL,2020-03-22,1,0,0
NP,2020-03-22,1,0,1
LC,2020-03-22,2,0,0
LB,2020-03-22,248,4,8
KZ,2020-03-22,60,0,0
KW,2020-03-22,188,0,27
KR,2020-03-22,8961,111,2909
KH,2020-03-22,84,0,1
KG,2020-03-22,14,0,0
KE,2020-03-22,15,0,0
JP,2020-03-22,1101,41,235
JO,2020-03-22,112,0,1
JM,2020-03-22,19,1,2
IT,2020-03-22,59138,5476,7024
IR,2020-03-22,21638,1685,7931
IQ,2020-03-22,233,20,57
IN,2020-03-22,396,7,27
IL,2020-03-22,883,1,37
IE,2020-03-22,906,4,5
ID,2020-03-22,514,48,29
HU,2020-03-22,131,6,16
HT,2020-03-22,2,0,0
NZ,2020-03-22,102,0,0
LI,2020-03-22,37,0,0
LK,2020-03-22,82,0,3
IS,2020-03-22,568,1,36
LT,2020-03-22,143,1,1
NO,2020-03-22,2385,7,1
LR,2020-03-22,3,0,0
NL,2020-03-22,4217,180,2
NI,2020-03-22,2,0,0
NG,2020-03-22,30,0,2
NE,2020-03-22,2,0,0
MZ,2020-03-22,1,0,0
MY,2020-03-22,1306,10,139
MX,2020-03-22,251,2,4
MV,2020-03-22,13,0,0
MU,2020-03-22,28,2,0
NA,2020-03-22,3,0,0
MR,2020-03-22,2,0,0
LV,2020-03-22,139,0,1
LU,2020-03-22,798,8,6
MT,2020-03-22,90,0,2
MA,2020-03-22,115,4,3
MC,2020-03-22,23,0,1
ME,2020-03-22,21,0,0
MD,2020-03-22,94,1,1
MG,2020-03-22,3,0,0
MK,2020-03-22,115,1,1
MN,2020-03-22,10,0,0
DK,2020-03-23,1572,24,1
DM,2020-03-23,2,0,0
DP,2020-03-23,712,8,325
DZ,2020-03-23,230,17,65
DO,2020-03-23,245,3,0
DJ,2020-03-23,3,0,0
CV,2020-03-23,3,0,0
CZ,2020-03-23,1236,1,6
CY,2020-03-23,116,1,3
CU,2020-03-23,40,1,0
EC,2020-03-23,981,18,3
CR,2020-03-23,158,2,2
CO,2020-03-23,277,3,3
DE,2020-03-23,29056,123,266
EE,2020-03-23,352,0,2
GH,2020-03-23,27,2,0
ER,2020-03-23,1,0,0
ES,2020-03-23,35136,2157,2575
ET,2020-03-23,11,0,4
FI,2020-03-23,700,1,10
FJ,2020-03-23,3,0,0
FR,2020-03-23,20123,855,2206
GA,2020-03-23,5,1,0
GD,2020-03-23,1,0,0
GE,2020-03-23,61,0,3
GM,2020-03-23,2,1,0
GN,2020-03-23,4,0,0
GQ,2020-03-23,9,0,0
CN,2020-03-23,81498,4536,72814
GR,2020-03-23,695,17,19
EG,2020-03-23,366,19,56
CM,2020-03-23,56,0,0
AT,2020-03-23,4474,21,9
CI,2020-03-23,25,0,1
GB,2020-03-23,6650,359,65
AD,2020-03-23,133,1,1
AE,2020-03-23,198,2,38
AF,2020-03-23,40,1,1
AG,2020-03-23,3,0,0
AL,2020-03-23,104,4,2
AM,2020-03-23,235,0,2
AO,2020-03-23,3,0,0
AR,2020-03-23,301,4,3
AU,2020-03-23,1682,7,88
AZ,2020-03-23,72,1,10
BA,2020-03-23,136,1,2
BB,2020-03-23,17,0,0
BD,2020-03-23,33,3,3
BE,2020-03-23,3743,88,263
BF,2020-03-23,99,4,5
BG,2020-03-23,201,3,3
CH,2020-03-23,8795,120,131
CG,2020-03-23,4,0,0
CF,2020-03-23,3,0,0
CD,2020-03-23,36,1,0
CA,2020-03-23,2088,24,10
BZ,2020-03-23,1,0,0
CL,2020-03-23,746,2,8
BY,2020-03-23,81,0,15
BS,2020-03-23,4,0,0
BR,2020-03-23,1924,34,2
BO,2020-03-23,27,0,0
BN,2020-03-23,91,0,2
BJ,2020-03-23,5,0,0
BH,2020-03-23,377,2,149
BT,2020-03-23,2,0,0
GY,2020-03-23,20,1,0
