date,new_daily_cases,new_daily_deaths,total_cases,total_recoveries,total_deaths,country,code
2020-03-07,140,3,402,7,17,USA,US
2020-03-08,116,4,518,7,21,USA,US
2020-03-09,65,1,583,7,22,USA,US
2020-03-10,376,6,959,8,28,USA,US
2020-03-11,322,8,1281,8,36,USA,US
2020-03-12,382,4,1663,12,40,USA,US
2020-03-13,516,7,2179,12,47,USA,US
2020-03-14,548,7,2727,12,54,USA,US
2020-03-15,772,9,3499,12,63,USA,US
2020-03-16,1133,22,4632,17,85,USA,US
2020-03-17,1789,23,6421,17,108,USA,US
2020-03-18,1362,10,7783,105,118,USA,US
2020-03-19,5894,82,13677,121,200,USA,US
2020-03-20,5423,44,19100,147,244,USA,US
2020-03-21,6389,63,25489,176,307,USA,US
2020-03-22,7787,110,33276,178,417,USA,US
2020-03-23,10571,140,43847,178,557,USA,US
2020-03-24,9893,149,53740,348,706,USA,US
2020-03-25,12038,236,65778,361,942,USA,US
2020-03-26,18058,267,83836,681,1209,USA,US
2020-03-27,17821,372,101657,869,1581,USA,US
2020-03-28,19821,445,121478,1072,2026,USA,US
2020-03-29,19408,441,140886,2665,2467,USA,US
2020-03-30,20921,511,161807,5644,2978,USA,US
2020-03-31,26365,895,188172,7024,3873,USA,US
2020-04-01,25200,884,213372,8474,4757,USA,US
2020-04-02,32201,1301,245573,0,6058,USA,US
2020-04-03,30013,1029,275586,0,7087,USA,US
2020-04-04,32947,1289,308533,0,8376,USA,US
2020-04-05,28539,1243,337072,0,9619,USA,US
2020-04-06,29542,1164,366614,0,10783,USA,US
2020-04-07,29609,1939,396223,0,12722,USA,US
2020-04-08,32829,1973,429052,0,14695,USA,US
2020-04-09,32385,1783,461437,0,16478,USA,US
2020-04-10,35098,2108,496535,0,18586,USA,US
2020-04-11,29861,1877,526396,0,20463,USA,US
2020-04-12,28917,1557,555313,0,22020,USA,US
2020-04-13,24887,1509,580200,0,23529,USA,US
2020-04-14,22789,2046,602989,0,25575,USA,US
2020-04-15,33361,2751,636350,0,28326,USA,US
2020-04-16,30875,4542,667225,0,32868,USA,US
2020-04-17,31880,3859,699105,0,36727,USA,US
2020-04-18,33092,1937,732197,0,38664,USA,US
2020-04-19,23336,1797,755533,0,40461,USA,US
2020-04-20,27757,1411,783290,0,41872,USA,US
2020-04-21,39967,2933,823257,0,44805,USA,US
2020-04-22,14690,1692,837947,0,46497,USA,US
2020-04-23,28699,3262,866646,0,49759,USA,US
2020-04-24,23878,1258,890524,0,51017,USA,US
2020-04-25,43409,2432,933933,0,53449,USA,US
2020-04-26,29446,1361,963379,0,54810,USA,US
2020-04-27,23643,1334,987022,0,56144,USA,US
2020-04-28,24578,2199,1011600,0,58343,USA,US
2020-04-29,26370,2510,1037970,0,60853,USA,US
2020-04-30,30726,2053,1068696,0,62906,USA,US
2020-05-01,34007,1883,1102703,0,64789,USA,US
2020-05-02,25009,1286,1127712,0,66075,USA,US
2020-05-03,29975,1599,1157687,0,67674,USA,US
2020-05-04,21219,1015,1178906,0,68689,USA,US
2020-05-05,24596,2333,1203502,0,71022,USA,US
2020-05-06,19966,2017,1223468,0,73039,USA,US
2020-05-07,31282,2504,1254750,0,75543,USA,US
2020-05-08,27310,1583,1282060,0,77126,USA,US
2020-05-09,27104,1620,1309164,0,78746,USA,US
2020-05-10,19037,762,1328201,0,79508,USA,US
2020-05-11,18522,844,1346723,0,80352,USA,US
2020-05-12,20768,1875,1367491,0,82227,USA,US
2020-05-13,22444,1832,1389935,0,84059,USA,US
2020-05-14,26593,1754,1416528,0,85813,USA,US
2020-05-15,26396,1680,1442924,0,87493,USA,US
2020-05-16,23758,1237,1466682,0,88730,USA,US
2020-05-17,19694,820,1486376,0,89550,USA,US
2020-05-18,20464,759,1506840,0,90309,USA,US
2020-05-19,20515,1536,1527355,0,91845,USA,US
2020-05-20,21697,1369,1549052,0,93214,USA,US
2020-05-21,26012,1377,1575064,0,94591,USA,US
2020-05-22,24676,1295,1599740,0,95886,USA,US
2020-05-23,13736,776,1613476,0,96662,USA,US
2020-05-24,27496,1017,1640972,0,97679,USA,US
2020-05-25,16469,355,1657441,0,98034,USA,US
2020-05-26,22860,841,1680301,0,98875,USA,US
2020-05-27,17158,1396,1697459,0,100271,USA,US
2020-05-28,22396,1291,1719855,0,101562,USA,US
2020-05-29,24403,1147,1744258,0,102709,USA,US
2020-05-30,21995,976,1766253,0,103685,USA,US
2020-05-31,20340,634,1786593,0,104319,USA,US
2020-06-01,21698,684,1808291,0,105003,USA,US
2020-06-02,21775,1117,1830066,0,106120,USA,US
2020-06-03,19494,973,1849560,0,107093,USA,US
